title,description,evidence_description,evidence_file,evidence_text,evidence_text_long,emoji,hard
Create content,"Take a photo of something in the neighbourhood, and post it on social media.
The photo must get at least 10 likes (or equivalent) within 10 minutes.
You may not like the photo, request likes, or tell anyone you need likes to win.
You may attempt this challenge only once per neighbourhood.",A link to the post,,X,,🤳,
Know someone who lives around here,"Visit a house or building where someone you personally know currently lives, or used to live. 
Tell your team about it.",A picture of the building and the name of the person,X,X,,🏠,
Cat!,Find an actual real life cat.,A picture of the cat,X,,,🐈,X
Write an ode to the other team,"Send a complementary poem to the other team.
The poem must be positive about the other team.
The poem must include a rhyme for each of the other team’s names.
The poem must be at least 8 lines long.",Poem,,,X,✍️,
Give a eulogy,"Go somewhere that somebody died and give a short eulogy.
The place must be a building, or area less than 100 x 100 meters.
The person must have died at least 100 years ago.
You must know the name or specific biographical information about the person who died
You must.be able to verify the person died there.",Video of your eulogy,X,,,🪦,X
Stalk a bird,"Film a bird for 3 minutes.
The bird must be distinct and visible in frame for the entire video.
The video must be continuous e.g. no pausing.",Video of the bird,X,,,🐦,
Attend a local event,"The event must have at least 10 people in attendance.
The event must have some kind of public advertisement (facebook event, web page, poster).
You must attend for at least 10 minutes.","Photo of you at the event, and public advertisement of the event",X,,,🥳,X
Give your teammate a genuine compliment,"Choose one team member. 
Each other team member must give them a genuine compliment.
Each compliment must be unique.",Video of the compliments,X,,,🫠,
Run for local election,"Make three promises about how you will improve this neighbourhood.
You must make a promise outside of a school, library, church or park. 
You may not use the same type of location more than once.",Video of your campaign promises,X,,,🗳️,
Play a musical instrument,"Play a real musical instrument.
The instrument cannot be improvised, or something you brought with you.
The instrument must be something created for the purpose of making music",Video of your performance,X,,,🎷,
Touch Grass,"Sit on grass for ten minutes.
The grass must be alive and in the ground.",Picture of your team on grass,X,,,🌱,
Have fun,"Have fun for 15 minutes.
You must be doing a fun activity for the entire 15 minutes.
Your fun activity must involve something in the neighbourhood.
You must stay in the same place while having fun.",Picture of your team having fun,X,,,💃,
Find something from your tattoo,"Find something that a team member has a tattoo of.
If nobody on your team has a tattoo, go to a tattoo parlour, and find something from the front window.
The thing must be physical, and the main subject of the tattoo.
The thing you find must be as specific as the tattoo. For example, a tattoo of a fireman cannot be a tattoo of a ""person""",Picture of the tattoo and the thing you found,X,,,⚓,
Visit an interesting thing,"Choose a thing and visit that thing.
When you arrive at that thing, search for it on Youtube. If there is a video about the thing with at least 1000 views, you succeed. If not, you may try again with another thing.
You must search for the specific thing you are visiting, not a category.
The video must mention or directly reference your thing in the title.","Picture of the interesting thing, and a link to the video",,,,🤨,
Photograph someone from far away,"Photograph a team member from at least 500 metres away. 
The other team member must be visible in the photo. They do not need to be recognisable.",Picture from 500 meters,X,,,🔭,
Visit every McDonalds,"Visit every McDonalds in this neighbourhood.
There must be at least one McDonalds.
You must go inside each McDonalds.",McDonaldses,X,,,🍟,
Transport water between two fountains,"Transport water from one fountain to another.
The fountain must not be intended for drinking. 
The fountain must be decorative and have flowing water.","Photo or video of water being taken, and given",X,,,⛲,X
Create a sign haiku,"Create a haiku out of signs. 
The sign must be the name of a business, a street or landmark, or a public building.
Each line of the haiku must be the entirety of a single sign.
The haiku must follow a 5-7-5 syllable format.",Haiku images,X,,,🏪,
Power up,"Find a real mushroom.
The mushroom must be naturally occurring, unharvested and obviously alive.",Photo of a mushroom,X,,,🍄,X
Recreate a statue,"Recreate a statue with your body.
You must be next to the statue you are recreating.
The statue must include a depiction of a living creature.",Photo of the statue and your recreation,X,,,🗽,
Confess your sins at three churches,"Visit three different churches. At each church, a team member must confess a sin. You do not need to enter the churches.",Video of confessions,X,,,⛪,
Be grateful for a bench,"Find a public bench which names the person or people who donated it.
Enjoy the bench. Express gratitude to the donors.",Picture of bench,,,,🪑,
Learn at a museum,"Visit a free public museum. Learn something.
You must spend at least ten minutes learning things.",What you learned,X,X,,🦖,
Go somewhere nice,"Go somewhere with a google maps rating of more than 4.5 stars.
Check the score when you arrive. You may not research before you go to the place.
If the place does not have a rating over 4.5 stars, you can attempt this challenge at another place after ten minutes.",Google maps review score,X,,,👍,
Go somewhere bad,"Go somewhere with a google maps rating of less than 3 stars.
Check the score when you arrive. You may not research before you go to the place.
If the place does not have a rating less than 3 stars, you can attempt this challenge at another place after ten minutes.",Google maps review score,X,,,👎,
Create a team uniform,"Create or acquire a uniform for your team.

All materials used in the uniform must cost less than $10 collectively.

The uniform must be visible at a distance.

The uniform must be the same for all team members.

All team members must wear the uniform until the end of the game.",Evidence,X,,,🧑‍✈️,
Win a prize from a claw machine.,You must win something from a real claw machine.,Evidence,X,,,🕹️,X
Steal their look,Try on 3 items worn by one mannequin. Take a photo posing next to the mannequin.,Evidence,X,,,👗,
Go window shopping,"Find a window for sale.
The window must be clearly and inarguably a window.
It may be part of a larger object that is for sale.
It may not be part of a real building.",Evidence,X,,,🪟,X
