title,description,rule1,rule2,rule3,rule4,link_name,link,exclude_winter,emoji,hard,draft
Try tricky train track trials,"Go to a metro station that has the same first letter as the first name of someone in your team.
Describe the metro station using three adjectives which start with the same letter.",You must use the team member's most commonly used name,,,,,,,🅱️,,
Predict the train doors,"Stand at the place where the train doors will open.
If any part of the train entryway is directly in front of your eyeline when the doors open, you succeed.",Only one team member may attempt this challenge at a time,You may keep attempting this challenge with new trains,,,,,,🚈,,
Sing happy birthday to a tree,"Visit a tree which was planted on today's date.
Sing happy birthday to the tree.",,,,,Tree Database,https://docs.google.com/spreadsheets/d/1kaDnxXcr9XucNVfJVlTLvR73DYtekoIsB6EAZ8fNyBc/edit?usp=sharing,,🌳,X,
Find a store with too much merch,Visit a store with at least 4 types of merch advertising their business.,The store must primarily sell food or drink.,Each item must be a different category of clothing or product.,,,,,,👕,,
Stalk a Squirrel,Film a squirrel for one minute.,The bird must be distinct and visible in frame for the entire video,The video must be continuous e.g. no pausing,,,,,X,🐿️,,
Find a staircase rainbow.,"Find one street-facing staircase which is mainly the following colours:
Red, Orange, Yellow, Green, Blue, Purple.",Each staircase must be clearly and indisputably this colour.,Each staircase must have at least 5 stairs.,,,,,X,🌈,X,
Translate at a library,Find the same book in English and French at a library.,,,,,,,,📚,,
You are here,"Find something displaying the name of this neighbourhood.
The thing must not be part of the transit system, a street sign, on a map, or be intended to help with navigation.",,,,,,,,📍,,
Lecture at a university,"Visit a university’s main campus. While there, give a lecture of at least 5 minutes on a topic of your choice.",,,,,,,,🎓,,
Get boba,Get boba. The boba must be in a drinkable state (e.g. not a kit),,,,,,,,🧋,,
