title,description,rule1,rule2,rule3,rule4,link_name,link,emoji,hard
Pay too much for coffee,Pay more than $8 for a coffee,,,,,,,🧉,
Look for a sharehouse,Go to an open home for a rental property.,The home must have at least two bedrooms,You must spend 5+ minutes inside.,,,,,🏚️,X
Tim tam slam,Successfully drink hot chocolate through a tim tam.,,,,,,,☕,
Look for Harold,"Spend ten minutes looking for Harold Holt in the ocean.
If you find him, you immediately win the game.",You must have a clear view of the ocean,You can be any distance from the ocean,,,,,🏊,X
Cross the same river twice,"Cross a river twice.
You must cross the river at two different points, using two different methods of transport",You must start and end in the neighbourhood you are claiming,You may temporarily leave the neighbourhood during this challenge,The river must have a name,"Acceptable methods are: walking, cycling, tram, train, bus, or boat",,,🚣‍♀️,
See a goal,Watch someone score an AFL goal,The goal must be scored with real AFL goals by a real AFL ball,,,,,,🏉,X
Sing happy birthday to a tree,"Visit a tree which was planted on today's date.
Sing happy birthday to the tree.",,,,,Tree Database,"https://data.melbourne.vic.gov.au/explore/dataset/trees-with-species-and-dimensions-urban-forest/map/?sort=-date_planted&dataChart=eyJxdWVyaWVzIjpbeyJjaGFydHMiOlt7InR5cGUiOiJjb2x1bW4iLCJmdW5jIjoiQ09VTlQiLCJ5QXhpcyI6InVzZWZ1bF9saWZlX2V4cGVjdGVuY3lfdmFsdWUiLCJzY2llbnRpZmljRGlzcGxheSI6dHJ1ZSwiY29sb3IiOiIjMjc3Q0I1In1dLCJ4QXhpcyI6ImRhdGVfcGxhbnRlZCIsIm1heHBvaW50cyI6bnVsbCwidGltZXNjYWxlIjoiZGF5Iiwic29ydCI6InNlcmllMS0xIiwiY29uZmlnIjp7ImRhdGFzZXQiOiJ0cmVlcy13aXRoLXNwZWNpZXMtYW5kLWRpbWVuc2lvbnMtdXJiYW4tZm9yZXN0Iiwib3B0aW9ucyI6eyJzb3J0IjoiLWRhdGVfcGxhbnRlZCJ9fSwic2VyaWVzQnJlYWtkb3duIjoiIiwic2VyaWVzQnJlYWtkb3duVGltZXNjYWxlIjoiIn1dLCJkaXNwbGF5TGVnZW5kIjp0cnVlLCJhbGlnbk1vbnRoIjp0cnVlLCJ0aW1lc2NhbGUiOiIifQ%3D%3D&location=13,-37.81304,144.94563&basemap=mbs-7a7333",🌳,X
Predict the train doors,"Stand at the place where the train doors will open.
If any part of the train entryway is directly in front of your eyeline when the doors open, you succeed.",Only one team member may attempt this challenge at a time,You may keep attempting this challenge with new trains,,,,,🚈,
Rhino on a skateboard,Put a Rhino on a skateboard. Make the rhino roll one meter without anyone touching or propelling it.,The Rhino must be a clear depiction of a rhino.,The skateboard must be something with wheels,You may not make your own rhino or skateboard,,,,🦏,
Complete a Trainle,Complete a Trainle in 6 guesses or less.,You may not use your phone to look at train stations,,,,Trainle,https://trainle.fun/,🚉,
Go one kilometre,"One team member must pick a random direction by spinning around with eyes closed.
Find the point exactly 1km in that direction using google maps.
Go to within 10 metres of that point.
","If the point is legally or physically inaccessible, spin again","Claim the neighbourhood where you began the challenge, even if you leave it to complete the challenge.",,,,,📏,
Try tricky train track trials,"Go to a metro station that has the same first letter as the first name of someone in your team.
Describe the metro station using three adjectives which start with the same letter.",You must use the team member's most commonly used name,,,,,,🅱️,
Report a pothole,Complete a pothole report using the official Montreal pothole reporting website.,The report must be accurate.,,,,,,🚧,
Visit every Tim Hortons,"Visit every open Tim Hortons in this neighbourhood. 
You must go into the Tim Hortons. 
If there are no Tim Hortons in the neighbourhood, draw a new challenge and return this one to the deck.",,,,,,,☕,
