title,description,rule1,rule2,rule3,rule4,link_name,link,emoji,hard
"See it, say it, sort it","Find something that doesn't belong in a Tube station. If you can do so without exiting the station, put it in its proper place (ex. trash)",You can't have placed the thing yourself.,,,,,,,
Bing bong bang bong,Record the Big Ben chiming,,,,,,,,
God Save the Queen King,Record the changing of the guard on your phone,,,,,,,,X
Scream of the Damned,Record the Tube screeching horribly,,,,,,,,
Loop-de-Loop,"Starting from a Tube station, reach the same Tube station without ever leaving the Tube or retracing your steps on the Tube map",Parallel Tube lines count as the same when it comes to retracing your steps ,,,,,,,
The full London experience,"Take a selfie from the second deck of a two-story red bus containing at least one of the following landmarks or a sign with their name on it:
The Tower of London - Buckingham Palace - The Big Ben - The British Museum - Piccadilly Circus - Shakespeare's Globe - St. Paul's Cathedral - London Bridge - Regent's Park
",,,,,,,,
Tea Time,Have a cuppa and some scones,,,,,,,,
The Harrods Effect,Take a picture of something sold at Harrods designed by a famous artist or the relative of a famous artist,,,,,,,,X
Find a Banksy ,Find a Banksy,,,,,,,,X
The Queen's Best Friends,Take a picture containing at least two Corgis,,,,,,,,
The Tower of London is Safe,Take a picture containing a combination of at least six crows or ravens,,,,,,,,X
Cypher-Spotting,Find at least two different post boxes with a different Royal Cypher on them,,,,,,https://www.postalmuseum.org/blog/royal-cyphers-on-letterboxes/,,X
The Crown's Property,Take a picture of a swan,,,,,,,,
Keep Calm and...,"Find at least three different variants of the classic ""Keep Calm and..."" slogan","If the slogan is found in a giftt shop, only one item per gift shop can be counted",,,,,,,
Legacy of the Bard,"Recite at least 10 lines of the ""To be or not to be"" monologue by memory in front of a theatre ",,,,,,,,
Free Education,Take a selfie inside at least four different museums with free admission,,,,,,,,
London Bridge is Staying Up,Build a bridge using improvised materials that stays up for at least 10 seconds,,,,,,,,
Pub Scrawl,Sketch the logo of a pub and take a picture with your drawing next to the logo,,,,,,,,
Royal Flush,"Find three signs, one with the word King in it, one with the word Queen, and one referencing some other noble title (Duke, Baron, Count etc.)",,,,,,,,
Royal Family Tree,"Find three signs, each containing the name of a subsequent King or Queen of England",,,,,,,,
London Calling,Find a red phone box,,,,,,,,
Out of Spoons,Take a selfie in front of three Wetherspoon all within a 1km radius of each other,,,,,,,,
"Name, Place, Animal, Drink","Find three different pubs, each of which has a different thing in its name:
- A person's name
- A location
- An animal",,,,,,,,
Here comes a candle ,"Do one of the following: bring oranges and lemons to St Clements, bring five farthings to St Martin's, apply for a job at Old Baily, admit something you don't know at the great bell of bow",,,,,,,,
Paddington's Delight,"Find a yellow raincoat, marmalade, and a leather suitcase.",,,,,,,,
Monopoly,Visit all the streets from a monopoly colour set ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Repeats,,,,,,,,,
Cross the same river twice,"Cross the Thames twice.
You must cross the river at two different points, using two different methods of transport",You must start and end in the neighbourhood you are claiming,You may temporarily leave the neighbourhood during this challenge,The river must have a name,"Acceptable methods are: walking, cycling, tram, train, bus, or boat",,,🚣‍♀️,
Predict the train doors,"Stand at the place where the train doors will open.
If any part of the train entryway is directly in front of your eyeline when the doors open, you succeed.",Only one team member may attempt this challenge at a time,You may keep attempting this challenge with new trains,,,,,🚈,
Go one kilometre,"One team member must pick a random direction by spinning around with eyes closed.
Find the point exactly 1km in that direction using google maps.
Go to within 10 metres of that point.
","If the point is legally or practically inaccessible, spin again",,,,,,📏,
Try tricky train track trials,"Go to a metro station that has the same first letter as the first name of someone in your team.
Describe the metro station using three adjectives which start with the same letter.",You must use the team member's most commonly used name,,,,,,🅱️,
